"ID","EMPLOYEE_ID","CUSTOMER_ID","ORDER_DATE","SHIPPED_DATE","SHIP_NAME","SHIP_ADDRESS1","SHIP_ADDRESS2","SHIP_CITY","SHIP_STATE","SHIP_POSTAL_CODE","SHIP_COUNTRY","SHIPPING_FEE","PAYMENT_TYPE","PAID_DATE","ORDER_STATUS","CHANGE_DATE"
4001,204,40,2016-04-05 00:00:00.000,2016-11-06 00:00:00.000,Jean Fuller,"93 Spohn Place",,Manggekompo,,,Indonesia,8.1400,Card,2016-10-12 00:00:00.000,On Hold,2016-11-06 00:00:00.000
4002,204,95,2017-01-29 00:00:00.000,2016-05-28 00:00:00.000,Diane Holmes,"46 Eliot Trail",,Virginia Beach,Virginia,"23459",United States,1.5500,Checque,2016-06-27 00:00:00.000,Shipped,2017-01-29 00:00:00.000
4003,218,54,2016-08-19 00:00:00.000,2016-12-08 00:00:00.000,Jerry Frazier,"23 Sundown Junction",,Obodivka,,,Ukraine,2.2900,Cash,2016-09-27 00:00:00.000,On Hold,2016-12-08 00:00:00.000
4004,204,69,2016-09-25 00:00:00.000,2016-12-24 00:00:00.000,Denise Freeman,"4909 Beilfuss Hill",,Nova Venécia,,"29830-000",Brazil,4.7700,Checque,2016-07-04 00:00:00.000,New,2016-12-24 00:00:00.000
4005,215,10,2017-03-14 00:00:00.000,2016-03-19 00:00:00.000,Jonathan Gordon,"7 Ludington Court",,Sukamaju,,,Indonesia,8.7800,Checque,2016-03-22 00:00:00.000,On Hold,2017-03-14 00:00:00.000
4006,211,23,2016-08-14 00:00:00.000,2016-12-05 00:00:00.000,Sean Carter,"859 Dahle Plaza",,Dayou,,,China,9.4300,Cash,2016-08-21 00:00:00.000,New,2016-12-05 00:00:00.000
4007,204,92,2017-01-02 00:00:00.000,2016-07-09 00:00:00.000,Alice Warren,"5 Fuller Center",,Log pri Brezovici,,"1358",Slovenia,3.2500,Cash,2016-03-24 00:00:00.000,Shipped,2017-01-02 00:00:00.000
4008,205,20,2016-05-15 00:00:00.000,2016-09-12 00:00:00.000,Andrea Hamilton,"99 Blue Bill Park Junction",,Liangshui,,,China,7.0400,Checque,2016-09-02 00:00:00.000,On Hold,2016-09-12 00:00:00.000
4009,219,58,2016-11-27 00:00:00.000,2017-03-02 00:00:00.000,Wanda Hill,"907 Sundown Court",,Pedra Azul,,"39970-000",Brazil,4.3500,Cash,2016-09-27 00:00:00.000,On Hold,2017-03-02 00:00:00.000
4010,218,57,2016-09-11 00:00:00.000,2017-02-26 00:00:00.000,Carolyn Foster,"0 Charing Cross Court",,Chicago,Illinois,"60609",United States,1.2300,Cash,2016-08-09 00:00:00.000,Complete,2017-02-26 00:00:00.000
4011,207,3,2017-03-01 00:00:00.000,2016-08-04 00:00:00.000,Timothy Warren,"19 John Wall Parkway",,Lyon,Rhône-Alpes,"69362 CEDEX 07",France,9.5700,Card,2016-05-08 00:00:00.000,Complete,2017-03-01 00:00:00.000
4012,210,59,2016-12-31 00:00:00.000,2016-08-08 00:00:00.000,Kathleen Marshall,"2 Swallow Circle",,Cunliji,,,China,9.0300,Cash,2016-04-23 00:00:00.000,On Hold,2016-12-31 00:00:00.000
4013,204,57,2017-01-11 00:00:00.000,2017-02-13 00:00:00.000,Jane Ortiz,"1136 Kedzie Alley",,Eirado,Viana do Castelo,"4990-540",Portugal,8.9000,Checque,2016-10-26 00:00:00.000,Shipped,2017-02-13 00:00:00.000
4014,212,26,2016-09-23 00:00:00.000,2016-05-13 00:00:00.000,Carolyn Martinez,"954 Kropf Court",,Ibitinga,,"14940-000",Brazil,4.5700,Card,2016-09-11 00:00:00.000,New,2016-09-23 00:00:00.000
4015,201,86,2016-11-04 00:00:00.000,2016-10-03 00:00:00.000,Debra Willis,"89 Grasskamp Road",,San Francisco,,"8501",Philippines,3.5300,Card,2016-10-05 00:00:00.000,New,2016-11-04 00:00:00.000
